Table Name,State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
B0118,`08,`100,District - Hanumangarh,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",344,298,46,94,70,24,250,228,22,128,42,86,108,24,84,20,18,2
B0118,`08,`100,District - Hanumangarh,`01,`011,`0112,Growing of rice,2,2,0,0,0,0,2,2,0,6,0,6,6,0,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`011,`0116,Growing of fibre crops,2,0,2,2,0,2,0,0,0,14,0,14,14,0,14,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`012,`0000,Growing of perennial crops,30,26,4,18,18,0,12,8,4,20,14,6,8,8,0,12,6,6
B0118,`08,`100,District - Hanumangarh,`01,`012,`0124,Growing of pome fruits and stone fruits,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`01,`012,`0125,Growing of other tree and bush fruits and nuts,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`012,`0127,Growing of beverage crops,8,6,2,0,0,0,8,6,2,8,2,6,2,2,0,6,0,6
B0118,`08,`100,District - Hanumangarh,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`012,`0129,Growing of other perennial crops,18,18,0,18,18,0,0,0,0,6,6,0,6,6,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`013,`0000,Plant propagation,16,14,2,6,6,0,10,8,2,4,2,2,4,2,2,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`013,`0130,Plant propagation,16,14,2,6,6,0,10,8,2,4,2,2,4,2,2,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`014,`0000,Animal production,25500,3812,21688,24152,3290,20862,1348,522,826,23276,870,22406,22632,850,21782,644,20,624
B0118,`08,`100,District - Hanumangarh,`01,`014,`0141,Raising of cattle and buffaloes,22288,1620,20668,21120,1242,19878,1168,378,790,21936,610,21326,21360,590,20770,576,20,556
B0118,`08,`100,District - Hanumangarh,`01,`014,`0143,Raising and breeding of camels and camelids,24,18,6,24,18,6,0,0,0,8,0,8,2,0,2,6,0,6
B0118,`08,`100,District - Hanumangarh,`01,`014,`0144,Raising of sheep and goats,3104,2108,996,2942,1982,960,162,126,36,1314,254,1060,1252,254,998,62,0,62
B0118,`08,`100,District - Hanumangarh,`01,`014,`0146,Raising of poultry,42,30,12,30,18,12,12,12,0,18,6,12,18,6,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`014,`0149,Raising of other animals,42,36,6,36,30,6,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`015,`0000,Mixed farming,268,174,94,130,48,82,138,126,12,278,34,244,274,34,240,4,0,4
B0118,`08,`100,District - Hanumangarh,`01,`015,`0150,Mixed farming,268,174,94,130,48,82,138,126,12,278,34,244,274,34,240,4,0,4
B0118,`08,`100,District - Hanumangarh,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1050,824,226,276,146,130,774,678,96,912,200,712,804,184,620,108,16,92
B0118,`08,`100,District - Hanumangarh,`01,`016,`0161,Support activities for crop production,350,298,52,82,54,28,268,244,24,268,60,208,242,60,182,26,0,26
B0118,`08,`100,District - Hanumangarh,`01,`016,`0162,Support activities for animal production,68,2,66,66,2,64,2,0,2,56,0,56,56,0,56,0,0,0
B0118,`08,`100,District - Hanumangarh,`01,`016,`0163,Post-harvest crop activities,626,518,108,122,84,38,504,434,70,588,140,448,506,124,382,82,16,66
B0118,`08,`100,District - Hanumangarh,`01,`016,`0164,Seed processing for propagation,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`02,`000,`0000,Forestry and logging,442,294,148,322,190,132,120,104,16,130,26,104,102,18,84,28,8,20
B0118,`08,`100,District - Hanumangarh,`02,`021,`0000,Silviculture and other forestry activities,56,42,14,30,24,6,26,18,8,18,6,12,18,6,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`02,`021,`0210,Silviculture and other forestry activities,56,42,14,30,24,6,26,18,8,18,6,12,18,6,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`02,`022,`0000,Logging,82,2,80,72,0,72,10,2,8,84,12,72,68,12,56,16,0,16
B0118,`08,`100,District - Hanumangarh,`02,`022,`0220,Logging,82,2,80,72,0,72,10,2,8,84,12,72,68,12,56,16,0,16
B0118,`08,`100,District - Hanumangarh,`02,`023,`0000,Gathering of non-wood forest products,88,40,48,76,28,48,12,12,0,28,8,20,16,0,16,12,8,4
B0118,`08,`100,District - Hanumangarh,`02,`023,`0230,Gathering of non-wood forest products,88,40,48,76,28,48,12,12,0,28,8,20,16,0,16,12,8,4
B0118,`08,`100,District - Hanumangarh,`02,`024,`0000,Support services to forestry,216,210,6,144,138,6,72,72,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`02,`024,`0240,Support services to forestry,216,210,6,144,138,6,72,72,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`03,`000,`0000,Fishing and aquaculture,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`03,`032,`0000,Aquaculture,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`03,`032,`0322,Freshwater aquaculture,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`07,`000,`0000,Mining of metal ores,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`07,`072,`0000,Mining of non-ferrous metal ores,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`07,`072,`0729,Mining of other non-ferrous metal ores,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`000,`0000,Other mining and quarrying,84,84,0,48,48,0,36,36,0,24,18,6,24,18,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`081,`0000,"Quarrying of stone, sand and clay",66,66,0,48,48,0,18,18,0,18,12,6,18,12,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`081,`0810,"Quarrying of stone, sand and clay",66,66,0,48,48,0,18,18,0,18,12,6,18,12,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`089,`0000,Mining and quarrying n.e.c.,18,18,0,0,0,0,18,18,0,6,6,0,6,6,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`089,`0892,Extraction and agglomeration of peat,6,6,0,0,0,0,6,6,0,6,6,0,6,6,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`08,`089,`0899,Other mining and quarrying n.e.c.,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`000,`0000,Manufacture of food products,4992,3160,1832,2900,1426,1474,2092,1734,358,1964,340,1624,1680,216,1464,284,124,160
B0118,`08,`100,District - Hanumangarh,`10,`101,`0000,Processing and preserving of meat,24,0,24,24,0,24,0,0,0,12,12,0,12,12,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`101,`1010,Processing and preserving of meat,24,0,24,24,0,24,0,0,0,12,12,0,12,12,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`102,`0000,"Processing and preserving of fish, crustaceans and molluscs",6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`102,`1020,"Processing and preserving of fish, crustaceans and molluscs and",6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`103,`0000,Processing and preserving of fruit and vegetables,62,36,26,38,12,26,24,24,0,56,12,44,50,12,38,6,0,6
B0118,`08,`100,District - Hanumangarh,`10,`103,`1030,Processing and preserving of fruit and vegetables,62,36,26,38,12,26,24,24,0,56,12,44,50,12,38,6,0,6
B0118,`08,`100,District - Hanumangarh,`10,`104,`0000,Manufacture of vegetable and animal oils and fats,148,146,2,42,42,0,106,104,2,40,38,2,0,0,0,40,38,2
B0118,`08,`100,District - Hanumangarh,`10,`104,`1040,Manufacture of vegetable and animal oils and fats,148,146,2,42,42,0,106,104,2,40,38,2,0,0,0,40,38,2
B0118,`08,`100,District - Hanumangarh,`10,`105,`0000,Manufacture of dairy products,1974,500,1474,1526,280,1246,448,220,228,1400,68,1332,1268,44,1224,132,24,108
B0118,`08,`100,District - Hanumangarh,`10,`105,`1050,Manufacture of dairy products,1974,500,1474,1526,280,1246,448,220,228,1400,68,1332,1268,44,1224,132,24,108
B0118,`08,`100,District - Hanumangarh,`10,`106,`0000,"Manufacture of grain mill products, starches and starch products",1438,1368,70,788,760,28,650,608,42,176,102,74,120,64,56,56,38,18
B0118,`08,`100,District - Hanumangarh,`10,`106,`1061,Manufacture of grain mill products,1432,1362,70,788,760,28,644,602,42,176,102,74,120,64,56,56,38,18
B0118,`08,`100,District - Hanumangarh,`10,`106,`1062,Manufacture of starches and starch products,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`107,`0000,Manufacture of other food products,1328,1092,236,470,320,150,858,772,86,280,108,172,230,84,146,50,24,26
B0118,`08,`100,District - Hanumangarh,`10,`107,`1071,Manufacture of bakery products,84,84,0,14,14,0,70,70,0,8,8,0,8,8,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`107,`1072,Manufacture of sugar,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`107,`1073,"Manufacture of cocoa, chocolate and sugar confectionery",472,468,4,152,148,4,320,320,0,68,68,0,48,48,0,20,20,0
B0118,`08,`100,District - Hanumangarh,`10,`107,`1075,Manufacture of prepared meals and dishes,656,442,214,278,132,146,378,310,68,184,26,158,160,22,138,24,4,20
B0118,`08,`100,District - Hanumangarh,`10,`107,`1079,Manufacture of other food products n.e.c.,104,86,18,26,26,0,78,60,18,20,6,14,14,6,8,6,0,6
B0118,`08,`100,District - Hanumangarh,`10,`108,`0000,Manufacture of prepared animal feeds,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`10,`108,`1080,Manufacture of prepared animal feeds,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`11,`000,`0000,Manufacture of beverages,78,78,0,6,6,0,72,72,0,18,18,0,6,6,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`11,`110,`0000,Manufacture of beverages,78,78,0,6,6,0,72,72,0,18,18,0,6,6,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`11,`110,`1102,Manufacture of wines,12,12,0,6,6,0,6,6,0,6,6,0,6,6,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`11,`110,`1104,Manufacture of soft drinks; production of mineral waters and other,66,66,0,0,0,0,66,66,0,12,12,0,0,0,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`12,`000,`0000,Manufacture of tobacco products,36,36,0,6,6,0,30,30,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`12,`120,`0000,Manufacture of tobacco products,36,36,0,6,6,0,30,30,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`12,`120,`1200,Manufacture of tobacco products,36,36,0,6,6,0,30,30,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`13,`000,`0000,Manufacture of textiles,1996,1724,272,602,444,158,1394,1280,114,588,94,494,370,50,320,218,44,174
B0118,`08,`100,District - Hanumangarh,`13,`131,`0000,"Spinning, weaving and finishing of textiles",846,700,146,298,188,110,548,512,36,388,80,308,240,42,198,148,38,110
B0118,`08,`100,District - Hanumangarh,`13,`131,`1311,Preparation and spinning of textile fibres,376,348,28,82,66,16,294,282,12,172,38,134,138,24,114,34,14,20
B0118,`08,`100,District - Hanumangarh,`13,`131,`1312,Weaving of textiles,294,190,104,178,96,82,116,94,22,108,16,92,64,12,52,44,4,40
B0118,`08,`100,District - Hanumangarh,`13,`131,`1313,Finishing of textiles,176,162,14,38,26,12,138,136,2,108,26,82,38,6,32,70,20,50
B0118,`08,`100,District - Hanumangarh,`13,`139,`0000,Manufacture of other textiles,1150,1024,126,304,256,48,846,768,78,200,14,186,130,8,122,70,6,64
B0118,`08,`100,District - Hanumangarh,`13,`139,`1391,Manufacture of knitted and crocheted fabrics,70,68,2,64,62,2,6,6,0,8,2,6,8,2,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`13,`139,`1392,"Manufacture of made-up textile articles, except apparel",24,18,6,0,0,0,24,18,6,2,0,2,2,0,2,0,0,0
B0118,`08,`100,District - Hanumangarh,`13,`139,`1393,Manufacture of carpets and rugs,30,18,12,12,6,6,18,12,6,46,0,46,44,0,44,2,0,2
B0118,`08,`100,District - Hanumangarh,`13,`139,`1394,"Manufacture of cordage, rope, twine and netting",788,780,8,110,108,2,678,672,6,42,6,36,42,6,36,0,0,0
B0118,`08,`100,District - Hanumangarh,`13,`139,`1399,Manufacture of other textiles n.e.c.,238,140,98,118,80,38,120,60,60,102,6,96,34,0,34,68,6,62
B0118,`08,`100,District - Hanumangarh,`14,`000,`0000,Manufacture of wearing apparel,5768,4068,1700,3720,2692,1028,2048,1376,672,1784,378,1406,1292,310,982,492,68,424
B0118,`08,`100,District - Hanumangarh,`14,`141,`0000,"Manufacture of wearing apparel, except fur apparel",5726,4044,1682,3702,2686,1016,2024,1358,666,1784,378,1406,1292,310,982,492,68,424
B0118,`08,`100,District - Hanumangarh,`14,`141,`1410,"Manufacture of wearing apparel, except fur apparel",5726,4044,1682,3702,2686,1016,2024,1358,666,1784,378,1406,1292,310,982,492,68,424
B0118,`08,`100,District - Hanumangarh,`14,`142,`0000,Manufacture of articles of fur,36,24,12,18,6,12,18,18,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`14,`142,`1420,Manufacture of articles of fur,36,24,12,18,6,12,18,18,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`14,`143,`0000,Manufacture of knitted and crocheted apparel,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`14,`143,`1430,Manufacture of knitted and crocheted apparel,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`15,`000,`0000,Manufacture of leather and related products,970,872,98,244,208,36,726,664,62,108,56,52,40,14,26,68,42,26
B0118,`08,`100,District - Hanumangarh,`15,`151,`0000,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",48,38,10,44,38,6,4,0,4,10,8,2,2,2,0,8,6,2
B0118,`08,`100,District - Hanumangarh,`15,`151,`1511,Tanning and dressing of leather; dressing and dyeing of fur,48,38,10,44,38,6,4,0,4,2,2,0,2,2,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`15,`151,`1512,"Manufacture of luggage, handbags and the like, saddlery and harness",0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,8,6,2
B0118,`08,`100,District - Hanumangarh,`15,`152,`0000,Manufacture of footwear,922,834,88,200,170,30,722,664,58,98,48,50,38,12,26,60,36,24
B0118,`08,`100,District - Hanumangarh,`15,`152,`1520,Manufacture of footwear,922,834,88,200,170,30,722,664,58,98,48,50,38,12,26,60,36,24
B0118,`08,`100,District - Hanumangarh,`16,`000,`0000,"Manufacture of wood and products of wood and cork, except furniture;",1106,1054,52,782,752,30,324,302,22,172,114,58,134,90,44,38,24,14
B0118,`08,`100,District - Hanumangarh,`16,`161,`0000,Sawmilling and planing of wood,334,334,0,204,204,0,130,130,0,32,32,0,20,20,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`16,`161,`1610,Saw milling and planing of wood,334,334,0,204,204,0,130,130,0,32,32,0,20,20,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`16,`162,`0000,"Manufacture of products of wood, cork, straw and plaiting materials",772,720,52,578,548,30,194,172,22,140,82,58,114,70,44,26,12,14
B0118,`08,`100,District - Hanumangarh,`16,`162,`1621,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",20,20,0,6,6,0,14,14,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`16,`162,`1622,Manufacture of builders’ carpentry and joinery,418,412,6,362,356,6,56,56,0,40,40,0,40,40,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`16,`162,`1623,Manufacture of wooden containers,74,54,20,26,18,8,48,36,12,28,18,10,28,18,10,0,0,0
B0118,`08,`100,District - Hanumangarh,`16,`162,`1629,"Manufacture of other products of wood; manufacture of articles of cork,",260,234,26,184,168,16,76,66,10,72,24,48,46,12,34,26,12,14
B0118,`08,`100,District - Hanumangarh,`17,`000,`0000,Manufacture of paper and paper products,146,92,54,34,26,8,112,66,46,30,6,24,12,6,6,18,0,18
B0118,`08,`100,District - Hanumangarh,`17,`170,`0000,Manufacture of paper and paper products,146,92,54,34,26,8,112,66,46,30,6,24,12,6,6,18,0,18
B0118,`08,`100,District - Hanumangarh,`17,`170,`1701,"Manufacture of pulp, paper and paperboard",22,18,4,6,6,0,16,12,4,2,0,2,0,0,0,2,0,2
B0118,`08,`100,District - Hanumangarh,`17,`170,`1702,Manufacture of corrugated paper and paperboard and containers of,42,24,18,8,0,8,34,24,10,14,6,8,12,6,6,2,0,2
B0118,`08,`100,District - Hanumangarh,`17,`170,`1709,Manufacture of other articles of paper and paperboard,82,50,32,20,20,0,62,30,32,14,0,14,0,0,0,14,0,14
B0118,`08,`100,District - Hanumangarh,`18,`000,`0000,Printing and reproduction of recorded media,140,140,0,28,28,0,112,112,0,8,8,0,0,0,0,8,8,0
B0118,`08,`100,District - Hanumangarh,`18,`181,`0000,Printing and service activities related to printing,140,140,0,28,28,0,112,112,0,8,8,0,0,0,0,8,8,0
B0118,`08,`100,District - Hanumangarh,`18,`181,`1811,Printing,28,28,0,14,14,0,14,14,0,2,2,0,0,0,0,2,2,0
B0118,`08,`100,District - Hanumangarh,`18,`181,`1812,Service activities related to printing,112,112,0,14,14,0,98,98,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`19,`000,`0000,Manufacture of coke and refined petroleum products,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`19,`192,`0000,Manufacture of refined petroleum products,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`19,`192,`1920,Manufacture of refined petroleum products,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`20,`000,`0000,Manufacture of chemicals and chemical products,304,268,36,78,78,0,226,190,36,48,36,12,6,6,0,42,30,12
B0118,`08,`100,District - Hanumangarh,`20,`201,`0000,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics",124,112,12,12,12,0,112,100,12,12,12,0,0,0,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`20,`201,`2011,Manufacture of basic chemicals,112,100,12,6,6,0,106,94,12,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`20,`201,`2012,Manufacture of fertilizers and nitrogen compounds,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`20,`201,`2013,Manufacture of plastics and synthetic rubber in primary forms,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`20,`202,`0000,Manufacture of other chemical products,180,156,24,66,66,0,114,90,24,36,24,12,6,6,0,30,18,12
B0118,`08,`100,District - Hanumangarh,`20,`202,`2022,"Manufacture of paints, varnishes and similar coatings, printing ink and",60,60,0,42,42,0,18,18,0,6,6,0,6,6,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`20,`202,`2023,"Manufacture of soap and detergents, cleaning and polishing preparations,",102,78,24,24,24,0,78,54,24,18,12,6,0,0,0,18,12,6
B0118,`08,`100,District - Hanumangarh,`20,`202,`2029,Manufacture of other chemical products n.e.c.,18,18,0,0,0,0,18,18,0,12,6,6,0,0,0,12,6,6
B0118,`08,`100,District - Hanumangarh,`21,`000,`0000,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",56,48,8,24,24,0,32,24,8,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`21,`210,`0000,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",56,48,8,24,24,0,32,24,8,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`21,`210,`2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical",56,48,8,24,24,0,32,24,8,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`22,`000,`0000,Manufacture of rubber and plastics products,410,404,6,72,70,2,338,334,4,12,12,0,0,0,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`22,`221,`0000,Manufacture of rubber products,338,334,4,46,44,2,292,290,2,12,12,0,0,0,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`22,`221,`2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of,320,316,4,46,44,2,274,272,2,12,12,0,0,0,0,12,12,0
B0118,`08,`100,District - Hanumangarh,`22,`221,`2219,Manufacture of other rubber products,18,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`22,`222,`0000,Manufacture of plastics products,72,70,2,26,26,0,46,44,2,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`22,`222,`2220,Manufacture of plastics products,72,70,2,26,26,0,46,44,2,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`23,`000,`0000,Manufacture of other non-metallic mineral products,13176,9340,3836,11284,7782,3502,1892,1558,334,3066,1666,1400,2892,1550,1342,174,116,58
B0118,`08,`100,District - Hanumangarh,`23,`231,`0000,Manufacture of glass and glass products,74,38,36,10,0,10,64,38,26,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`23,`231,`2310,Manufacture of glass and glass products,74,38,36,10,0,10,64,38,26,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`23,`239,`0000,Manufacture of non-metallic mineral products n.e.c.,13102,9302,3800,11274,7782,3492,1828,1520,308,3066,1666,1400,2892,1550,1342,174,116,58
B0118,`08,`100,District - Hanumangarh,`23,`239,`2391,Manufacture of refractory products,648,470,178,492,338,154,156,132,24,68,50,18,56,38,18,12,12,0
B0118,`08,`100,District - Hanumangarh,`23,`239,`2392,Manufacture of clay building materials,11354,7958,3396,10102,6902,3200,1252,1056,196,2780,1484,1296,2696,1424,1272,84,60,24
B0118,`08,`100,District - Hanumangarh,`23,`239,`2393,Manufacture of other porcelain and ceramic products,676,472,204,410,284,126,266,188,78,168,82,86,96,44,52,72,38,34
B0118,`08,`100,District - Hanumangarh,`23,`239,`2394,"Manufacture of cement, lime and plaster",148,146,2,108,108,0,40,38,2,26,26,0,20,20,0,6,6,0
B0118,`08,`100,District - Hanumangarh,`23,`239,`2395,"Manufacture of articles of concrete, cement and plaster",126,106,20,82,70,12,44,36,8,12,12,0,12,12,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`23,`239,`2396,"Cutting, shaping and finishing of stone",108,108,0,50,50,0,58,58,0,12,12,0,12,12,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`23,`239,`2399,Manufacture of other non-metallic mineral products n.e.c.,42,42,0,30,30,0,12,12,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`000,`0000,Manufacture of basic metals,382,362,20,222,210,12,160,152,8,24,12,12,24,12,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`241,`0000,Manufacture of basic iron and steel,286,266,20,188,176,12,98,90,8,24,12,12,24,12,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`241,`2410,Manufacture of basic iron and steel,286,266,20,188,176,12,98,90,8,24,12,12,24,12,12,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`242,`0000,Manufacture of basic precious and other non-ferrous metals,20,20,0,14,14,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`242,`2420,Manufacture of basic precious and other non-ferrous metals,20,20,0,14,14,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`243,`0000,Casting of metals,76,76,0,20,20,0,56,56,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`24,`243,`2431,Casting of iron and steel,76,76,0,20,20,0,56,56,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`25,`000,`0000,"Manufacture of fabricated metal products, except machinery and equipment",1914,1650,264,1324,1122,202,590,528,62,222,112,110,178,86,92,44,26,18
B0118,`08,`100,District - Hanumangarh,`25,`251,`0000,"Manufacture of structural metal products, tanks, reservoirs and steam",210,204,6,156,150,6,54,54,0,18,12,6,18,12,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`25,`251,`2511,Manufacture of structural metal products,210,204,6,156,150,6,54,54,0,18,12,6,18,12,6,0,0,0
B0118,`08,`100,District - Hanumangarh,`25,`259,`0000,Manufacture of other fabricated metal products; metalworking service,1704,1446,258,1168,972,196,536,474,62,204,100,104,160,74,86,44,26,18
B0118,`08,`100,District - Hanumangarh,`25,`259,`2591,"Forging, pressing, stamping and roll-forming of metal; powder",8,6,2,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`25,`259,`2592,Machining; treatment and coating of metals,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`25,`259,`2593,"Manufacture of cutlery, hand tools and general hardware",1150,934,216,800,634,166,350,300,50,176,74,102,134,50,84,42,24,18
B0118,`08,`100,District - Hanumangarh,`25,`259,`2599,Manufacture of other fabricated metal products n.e.c.,540,506,34,360,338,22,180,168,12,28,26,2,26,24,2,2,2,0
B0118,`08,`100,District - Hanumangarh,`26,`000,`0000,"Manufacture of computer, electronic and optical products",54,54,0,12,12,0,42,42,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`26,`261,`0000,Manufacture of electronic components,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`26,`261,`2610,Manufacture of electronic components,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`100,District - Hanumangarh,`26,`262,`0000,Manufacture of computers and peripheral equipment,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
